proposta;id_x;titulo;votos;state;publicacao;comentarios;url;eixo;id_autor;processo;siglaUf;familiaBeneficiariaPBF;racaCor;gpte;idade_final;sex_final;log1p_votos;log1p_comentarios;cadunico;ocupacao_grupo;cluster_k3;regiao;faixaRendaFamiliarPerCapita;faixaEtaria
<p>Proposta realizada na Oficina da Para?ba</p>;29187;"Cada munic?pio brasileiro ter pelo menos 1 equipamento cultural (qualificado, sustent?vel e acess?vel) que possa receber atividades culturais diversas.	";3;N?o analisado;16/12/2024 17:11;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29187;Eixo 5 - Infraestrutura, equipamentos e espa?os culturais;437;Plano Cultura;;;;;56;Masculino;1,39E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29173;"Garantir fontes de financiamento ? cultura com destina??o obrigat?ria e permanente de recursos de no m?nimo 2% do or?amento federal, 1,5% do or?amento estadual e 1% do municipal para pol?ticas culturais, e de no m?nimo 2% das emendas de bancada para a cultura.	";0;N?o analisado;16/12/2024 17:07;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29173;Eixo 1 - Gest?o e participa??o;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29174;"Garantir piso m?nimo constitucional para recursos p?blicos destinados ? cultura no ?mbito federal, distrital, estadual e municipal com previs?o de amplia??o peri?dica (escalonada)	";0;N?o analisado;16/12/2024 17:07;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29174;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
"<p>	Proposta realizada na Oficina da Para?ba</p>";29175;Pol?tica Nacional Cultura Viva implementada em todos os munic?pios.;1;N?o analisado;16/12/2024 17:07;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29175;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29177;"Aumento da difus?o dos produtos culturais no ambiente digital.	";1;N?o analisado;16/12/2024 17:08;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29177;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29179;"Recursos da Lei Rouanet descentralizados de forma equitativa.	";0;N?o analisado;16/12/2024 17:09;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29179;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29180;"Amplia??o do acesso p?blico aos produtos culturais subsidiados por recursos p?blicos.	";1;N?o analisado;16/12/2024 17:09;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29180;Eixo 2 - Fomento ? cultura;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29181;Promover a institucionaliza??o dos museus, garantindo a implementa??o dos planos museol?gicos com educa??o patrimonial e museal e integra??o com pol?ticas de patrim?nio imaterial, fortalecendo a articula??o com o sistema brasileiro de museus e sistemas correlatos dos demais entes federativos. ;3;N?o analisado;16/12/2024 17:09;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29181;Eixo 3 - Patrim?nio e mem?ria;437;Plano Cultura;;;;;56;Masculino;1,39E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29182;"Orientar e estimular a cria??o de legisla??o de patrim?nio material e imaterial nos munic?pios e estados garantindo implementa??o dos planos de salvaguarda e pol?ticas de educa??o patrimonial nos territ?rios. 	";4;N?o analisado;16/12/2024 17:10;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29182;Eixo 3 - Patrim?nio e mem?ria;437;Plano Cultura;;;;;56;Masculino;1,61E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29183;"Desenvolver a??es e programas para promo??o da cultura nas institui??es de educa??o b?sica a partir dos produtos resultantes das leis de fomento e incentivo do setor cultural.	";0;N?o analisado;16/12/2024 17:10;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29183;Eixo 4 - Forma??o;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29185;"Desenvolver, incentivar, e fomentar instrumentos para forma??o dos conselheiros e gestores referente ao SNC, com atua??o garantida dos mestres e mestras da cultura popular e tradicional locais.	";1;N?o analisado;16/12/2024 17:11;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29185;Eixo 4 - Forma??o;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
"<p>	Proposta realizada na Oficina da Para?ba</p>";29188;PAC Cultura com destina??o cont?nua de recursos para estados e munic?pios.;1;N?o analisado;16/12/2024 17:11;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29188;Eixo 5 - Infraestrutura, equipamentos e espa?os culturais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29189;"Garantir que pelo menos 60% da programa??o dos equipamentos culturais p?blicos seja realizada por arranjos culturais locais e que seja 100% acess?vel.	";2;N?o analisado;16/12/2024 17:12;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29189;Eixo 5 - Infraestrutura, equipamentos e espa?os culturais;437;Plano Cultura;;;;;56;Masculino;1,10E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29190;"Criar e implementar pol?tica e rede nacional de equipamentos culturais	";1;N?o analisado;16/12/2024 17:12;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29190;Eixo 5 - Infraestrutura, equipamentos e espa?os culturais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29192;"Garantir cota m?nima de, pelo menos, 30% de sele??o de artistas e agentes culturais locais em todas as programa??es culturais estaduais e municipais. 	";4;N?o analisado;16/12/2024 17:12;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29192;Eixo 6 -  Economia Criativa, Trabalho, Emprego, Renda e Prote??o Social;437;Plano Cultura;;;;;56;Masculino;1,61E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
"<p>	Proposta realizada na Oficina da Para?ba</p>";29193;Atualizar tabela de cach?s por segmento da cultura, que garanta equipara??o de sal?rios para trabalhadores criativos e t?cnicos, levando em considera??o a renda m?dia de cada estado. ;1;N?o analisado;16/12/2024 17:13;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29193;Eixo 6 -  Economia Criativa, Trabalho, Emprego, Renda e Prote??o Social;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29194;"Garantir renda m?nima para mestres e mestras dos saberes tradicionais de forma facilitada e desburocratizada, tendo comprovada a sua atua??o cultural por meio das entidades culturais locais. 	";1;N?o analisado;16/12/2024 17:13;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29194;Eixo 6 -  Economia Criativa, Trabalho, Emprego, Renda e Prote??o Social;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29195;"Criar aux?lio permanente para os trabalhadores da cultura que garanta renda b?sica nos per?odos de intermit?ncia, mediante controle e monitoramento de suas atividades. 	";1;N?o analisado;16/12/2024 17:13;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29195;Eixo 6 -  Economia Criativa, Trabalho, Emprego, Renda e Prote??o Social;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29196;"Ampliar a pol?tica de patrimonializa??o visando salvaguardar os saberes e fazeres dos povos e comunidades tradicionais vulnerabilizados pelas mudan?as clim?ticas, respeitando os objetivos de desenvolvimento sustent?vel da ONU	";0;N?o analisado;16/12/2024 17:14;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29196;Eixo 7 - Bem viver e justi?a clim?tica;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29197;"Criar programa de forma??o continuada atrav?s de m?dias populares, sobre educa??o socioambiental e clim?tica, protagonizadas pelos povos e comunidades tradicionais. 	";0;N?o analisado;16/12/2024 17:14;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29197;Eixo 7 - Bem viver e justi?a clim?tica;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Criar mecanismos de obrigatoriedade, atrav?s da Lei Rouanet e outras fontes de recursos, para o acolhimento de propostas oriundas de agnetes culturais estabelecidos em ?reas impactadas negativamente, seja em ?mbito social, econ?mico ou ambiental, financiadas pelas empresas causadoras dos danos socioambientais </p><p>Proposta realizada na Oficina da Para?ba</p>;29198;Criar mecanismos de obrigatoriedade, atrav?s da Lei Rouanet e outras fontes de recursos, para o acolhimento de propostas oriundas de agnetes culturais estabelecidos em ?reas impactadas negativamente, seja em ?mbito social, econ?mico ou ambiental, financiadas pelas empresas causadoras dos danos socio;0;N?o analisado;16/12/2024 17:14;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29198;Eixo 7 - Bem viver e justi?a clim?tica;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29199;"Desenvolver sistema de pontua??o diferenciado, nas pol?ticas e projetos de fomento, para bonificar agentes, redes e coletivos comunit?rios que tenham contrapartidas socioambientais em seus territ?rios. 	";5;N?o analisado;16/12/2024 17:15;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29199;Eixo 7 - Bem viver e justi?a clim?tica;437;Plano Cultura;;;;;56;Masculino;1,79E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29200;"Criar protocolos de preven??o e mitiga??o para os impactos ambientais gerados por grandes eventos, garantindo pactua??o federativa para sua implementa??o. 	";0;N?o analisado;16/12/2024 17:15;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29200;Eixo 7 - Bem viver e justi?a clim?tica;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29201;"Implementa??o de espa?os culturais digitais p?blicos para letramento digital, setorizado por regionais.	";1;N?o analisado;16/12/2024 17:15;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29201;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29203;"Implementar letramento digital cr?tico, pr?tico e cidad?o para pessoas historicamente vulnerabilizadas.	";1;N?o analisado;16/12/2024 17:16;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29203;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29205;"Garantia de distribui??o de kits multim?dia para pontos de cultura 	";0;N?o analisado;16/12/2024 17:17;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29205;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
"<p>	Proposta realizada na Oficina da Para?ba</p>";29206;Regula??o da intelig?ncia artificial em rela??o aos direitos culturais e autorais.;1;N?o analisado;16/12/2024 17:17;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29206;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina da Para?ba</p>;29207;"Adequa??o da m?dia digital e intelig?ncia artificial ? legisla??o e acordos de direito autoral e propriedade intelectual internacionais.	";3;N?o analisado;16/12/2024 17:17;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29207;Eixo 8 - Cultura digital e direitos digitais;437;Plano Cultura;;;;;56;Masculino;1,39E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;CO;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28776;"Aumentar o n?mero de grupos e coletivos culturais (novos ou j? existentes) fortalecidos com autonomia financeira e recursos de manuten??o garantidos 	";0;N?o analisado;13/12/2024 18:27;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28776;Eixo 2 - Fomento ? cultura;438;Plano Cultura;;;;;56;Feminino;0;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28771;"Eliminar as barreiras de acesso e universalizar a acessibilidade na programa??o e trabalho cultural 	";1;N?o analisado;13/12/2024 18:24;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28771;Eixo 1 - Gest?o e participa??o;438;Plano Cultura;;;;;56;Feminino;6,93E+15;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28774;"Todos os munic?pios investindo pelo menos 1% do seu or?amento na cultura 	";2;N?o analisado;13/12/2024 18:27;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28774;Eixo 1 - Gest?o e participa??o;438;Plano Cultura;;;;;56;Feminino;1,10E+16;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28772;"Implementar o CPF da cultura em todos os munic?pios, com acesso aos demais componentes do SNC	";0;N?o analisado;13/12/2024 18:26;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28772;Eixo 1 - Gest?o e participa??o;438;Plano Cultura;;;;;56;Feminino;0;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28775;"Ampliar os recursos investidos pela iniciativa privada no campo da cultura 	";0;N?o analisado;13/12/2024 18:27;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28775;Eixo 2 - Fomento ? cultura;438;Plano Cultura;;;;;56;Feminino;0;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28778;"Aumentar em 70% os recursos de fomento destinados ? cultura.	";2;N?o analisado;13/12/2024 18:28;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28778;Eixo 2 - Fomento ? cultura;438;Plano Cultura;;;;;56;Feminino;1,10E+16;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28780;"Aumentar o ?ndice de recursos destinados pelos trabalhadores, para a ?rea da cultura.	";1;N?o analisado;13/12/2024 18:28;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28780;Eixo 2 - Fomento ? cultura;438;Plano Cultura;;;;;56;Feminino;6,93E+15;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Cear?</p>;28781;"Universalizar o acesso da popula??o ?s atividades culturais nos territ?rios, considerando forma??o e frui??o nas diversas express?es e linguagens culturais.	";5;N?o analisado;13/12/2024 18:28;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/28781;Eixo 2 - Fomento ? cultura;438;Plano Cultura;;;;;56;Feminino;1,79E+15;0;N?o cadastrado;empresa_publica;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Rio Grande do Norte</p>;29209;"Consolidar a destina??o 2% de recursos do PIB de forma continuada para a cultura anualmente	";4;N?o analisado;16/12/2024 17:21;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29209;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;1,61E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Rio Grande do Norte</p>;29213;"Garantir que as pol?ticas de fomento alcancem todos os estados e munic?pios brasileiros 	";3;N?o analisado;16/12/2024 17:23;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29213;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;1,39E+16;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Rio Grande do Norte</p>;29210;"Garantir a fiscaliza??o e a transpar?ncia, com controle social e participa??o dos conselhos, dos repasses realizados no ?mbito da cultura  	";1;N?o analisado;16/12/2024 17:22;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29210;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Rio Grande do Norte</p>;29211;"Garantir celeridade e cumprimento de cronogramas na execu??o da pol?tica de fomento 	";1;N?o analisado;16/12/2024 17:22;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29211;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
"<p>	Proposta realizada na Oficina do Rio Grande do Norte</p>";29212;Desenvolver pol?ticas de fomento com modalidades diversas que considerem os diferentes tempos de execu??o dos projetos culturais ;1;N?o analisado;16/12/2024 17:23;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29212;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;6,93E+15;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
<p>Proposta realizada na Oficina do Rio Grande do Norte</p>;29214;"Facilitar o acesso ?s informa??es relativas ao fomento com o uso de linguagem simples e acess?vel 	";0;N?o analisado;16/12/2024 17:23;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/29214;Eixo 2 - Fomento ? cultura;436;Plano Cultura;;;;;56;Feminino;0;0;N?o cadastrado;servidor_publico;Participantes de baixa mobiliza??o;SE;;45 a 59 anos
"<p>Proposta realizada na Oficina de Pernambuco relativa ao Objetivo de	Garantir a preserva??o e difus?o de bens culturais, materiais e imateriais, nos diversos territ?rios brasileiros, com pol?ticas afirmativas e reparat?rias de patrim?nio e mem?ria.</p>";21574;Sistema nacional de patrim?nio cultural implantado, com pol?tica integrada de reconhecimento e preserva??o e confer?ncia nacional.;2;N?o analisado;05/11/2024 14:18;0;https://brasilparticipativo.presidencia.gov.br/processes/planoclima/f/287/proposals/21574;Eixo 3 - Patrim?nio e mem?ria;434;Plano Cultura;;;;;56;Feminino;1,10E+16;0;N?o cadastrado;nao_especificado;Participantes de baixa mobiliza??o;NE;;45 a 59 anos
